name,metal,ox,high_spin,spin_splitting_kcal/mol,energetic_homo_ls_eV,energetic_homo_hs_eV,energetic_lumo_ls_eV,energetic_lumo_hs_eV,energetic_gap_ls_eV,energetic_gap_hs_eV
fe_3_furan_furan_furan_furan_pyr_misc,fe,3,6,-22.1750616908448,-15.2601452824652,-14.9336086501727,-14.685985037351,-14.4846207807707,0.57416024511415,0.448987869402059
fe_3_furan_furan_furan_furan_water_carbonyl,fe,3,6,-23.3419087177338,-16.081929140401,-15.869680329411,-15.4751152320577,-15.2927989456944,0.606813908343391,0.576881383716586
fe_3_furan_furan_furan_furan_water_misc,fe,3,6,-22.8170974442119,-15.6547103798185,-15.439740430226,-15.0370119170653,-14.8655801851118,0.617698462753138,0.574160245114149
fe_3_misc_misc_misc_misc_carbonyl_carbonyl,fe,3,6,37.4120070898758,-19.9649939260782,-19.415323928386,-16.6152723064786,-16.8220788402638,3.34972161959961,2.5932450881222
fe_3_misc_misc_misc_misc_carbonyl_misc,fe,3,6,35.2055616663914,-19.1377677909375,-18.773135218211,-15.7363445378916,-15.8206998345671,3.40142325304591,2.95243538364385
fe_3_misc_misc_misc_misc_misc_misc,fe,3,6,37.2768009494228,-18.3050993785918,-18.2234652205187,-14.8274842446777,-15.0070793924385,3.47761513391413,3.21638582808021
fe_3_misc_misc_misc_misc_pyr_carbonyl,fe,3,6,26.5750749766556,-17.1703845813757,-16.9608569089881,-15.0506176100775,-15.1866745401994,2.11976697129821,1.77418236878874
fe_3_misc_misc_misc_misc_pyr_misc,fe,3,6,33.069346161896,-16.6016666134665,-16.3703698322593,-14.19345895031,-14.6315622653023,2.4082076631565,1.73880756695707
fe_3_misc_misc_misc_misc_pyr_pyr,fe,3,6,26.9937305977923,-16.4030234954886,-16.1336307738473,-13.6927694474616,-14.4193134543122,2.71025404802698,1.71431731953513
fe_3_misc_misc_misc_misc_water_carbonyl,fe,3,6,22.5096232614005,-19.6438995709907,-19.2602190280471,-16.1036982492205,-16.4356771587178,3.54020132177018,2.82454186932932
fe_3_misc_misc_misc_misc_water_misc,fe,3,6,26.9516153623156,-18.7649718024037,-18.6207514564745,-15.0043582538361,-15.5594705287332,3.76061354856755,3.06128092774132
fe_3_misc_misc_misc_misc_water_pyr,fe,3,6,21.7359268586315,-17.0043951266271,-16.7758194840224,-14.3404004348415,-15.0370119170653,2.66399469178555,1.73880756695707
fe_3_misc_misc_misc_misc_water_water,fe,3,6,15.4631532145685,-19.371785710747,-19.0860661574912,-15.3200103317188,-16.2451974565472,4.05177537902828,2.84086870094394
fe_3_pyr_pyr_pyr_pyr_carbonyl_carbonyl,fe,3,6,1.07888594912171,-16.4656096833446,-16.5581283958275,-15.7798827555306,-15.0778289961019,0.685726927814054,1.48029939972558
fe_3_pyr_pyr_pyr_pyr_carbonyl_misc,fe,3,6,13.5049841106004,-16.3676486936569,-16.1662844370766,-13.589366180569,-14.3676118208659,2.77828251308789,1.79867261621067
fe_3_pyr_pyr_pyr_pyr_misc_misc,fe,3,6,13.9640611310261,-15.9894104279182,-15.8098152801574,-12.9335717773818,-13.7716824669323,3.05583865053644,2.03813281322511
fe_3_pyr_pyr_pyr_pyr_pyr_misc,fe,3,6,3.63838545913762,-15.8098152801574,-15.7091331518672,-12.6723424715478,-13.5131742997008,3.13747280860954,2.19595885216644
fe_3_pyr_pyr_pyr_pyr_pyr_pyr,fe,3,6,-5.33281019769409,-15.8125364187598,-15.720017706277,-12.4219977201236,-13.3009254887107,3.39053869863616,2.41909221756625
fe_3_pyr_pyr_pyr_pyr_water_carbonyl,fe,3,6,7.60514279827144,-16.6588105241176,-16.4438405745251,-14.0410751885735,-14.8546956307021,2.61773533554413,1.58914494382304
fe_3_pyr_pyr_pyr_pyr_water_misc,fe,3,6,7.11586293096807,-16.2588031495594,-16.0710445859913,-13.2873197956985,-14.1825743959002,2.9714833538609,1.88847019009109
fe_3_pyr_pyr_pyr_pyr_water_pyr,fe,3,6,-3.68138378886031,-16.0574388929791,-15.9866892893158,-12.9308506387793,-13.8152206845713,3.1265882541998,2.1714686047445
fe_3_water_water_water_water_carbonyl_carbonyl,fe,3,6,-13.7441993817386,-23.3337635158949,-23.2249179717974,-19.3228052159032,-19.9649939260782,4.01095829999174,3.2599240457192
fe_3_water_water_water_water_carbonyl_misc,fe,3,6,-12.2790204830325,-21.4180819397795,-21.1949485743796,-17.8724383408044,-18.6670108127159,3.54564359897505,2.52793776166372
fe_3_water_water_water_water_misc_misc,fe,3,6,-6.48887065033942,-20.5636444186143,-20.318741944395,-16.6506471083103,-17.5976033419583,3.91299731030401,2.72113860243672
